drugA,drugB,label
DB00246,DB08810,1
DB00176,DB06230,1
DB00380,DB01267,1
DB01151,DB04839,1
DB12184,DB14509,1
DB00363,DB04820,1
DB08961,DB00404,1
DB05239,DB00246,1
DB00246,DB09076,1
DB00726,DB08815,1
DB01407,DB00477,1
DB00734,DB06077,1
DB09078,DB01037,1
DB03615,DB09068,1
DB00628,DB00730,1
DB00887,DB09068,1
DB01151,DB11774,1
DB01100,DB01058,1
DB01247,DB13500,1
DB00363,DB00640,1
DB00592,DB00246,1
DB13526,DB00555,1
DB00477,DB00467,1
DB00734,DB01155,1
DB01082,DB01151,1
DB06077,DB09117,1
DB09190,DB00656,1
DB00182,DB13844,1
DB01556,DB00502,1
DB00604,DB01151,1
DB00865,DB01576,1
DB00628,DB00696,1
DB00950,DB01623,1
DB01162,DB00476,1
DB13405,DB00829,1
DB00370,DB00060,1
DB14963,DB00363,1
DB00433,DB06691,1
DB13657,DB01068,1
DB08815,DB13943,1
DB00490,DB13598,1
DB00653,DB00704,1
DB00973,DB00715,1
DB14509,DB14715,1
DB00765,DB00623,1
DB06700,DB01397,1
DB00628,DB00995,1
DB00313,DB09273,1
DB01623,DB00503,1
DB06684,DB01624,1
DB00613,DB00679,1
DB01018,DB01198,1
DB00182,DB00542,1
DB09128,DB01576,1
DB00752,DB04832,1
DB00246,DB06207,1
DB01589,DB09128,1
DB01175,DB01208,1
DB00404,DB01454,1
DB00726,DB01253,1
DB11855,DB00829,1
DB08918,DB13665,1
DB00321,DB00280,1
DB01151,DB13678,1
DB00321,DB14025,1
DB00829,DB09225,1
DB00404,DB13941,1
DB06216,DB00852,1
DB00788,DB00422,1
DB08839,DB00370,1
DB01255,DB09236,1
DB11979,DB00656,1
DB00934,DB09202,1
DB14185,DB00661,1
DB01247,DB00802,1
DB01618,DB04836,1
DB00321,DB00725,1
DB00470,DB01618,1
DB01151,DB01369,1
DB01081,DB14509,1
DB01172,DB01224,1
DB00328,DB14509,1
DB00390,DB01149,1
DB13160,DB00176,1
DB00363,DB01392,1
DB00394,DB00215,1
DB01242,DB14050,1
DB09068,DB13453,1
DB13432,DB00934,1
DB00628,DB13678,1
DB00802,DB09068,1
DB00313,DB00734,1
DB00714,DB01224,1
DB00458,DB09022,1
DB00637,DB00363,1
DB00502,DB09287,1
DB06216,DB04951,1
DB00490,DB00136,1
DB01017,DB00313,1
DB00680,DB09128,1
DB13313,DB00477,1
DB06077,DB00332,1
DB09265,DB01238,1
DB01132,DB01267,1
DB13951,DB00502,1
DB01224,DB00204,1
DB01149,DB12752,1
DB00182,DB00610,1
DB00952,DB00831,1
DB01247,DB13369,1
DB00502,DB08911,1
DB00349,DB00422,1
DB06016,DB11859,1
DB00370,DB00465,1
DB01255,DB09154,1
DB00623,DB11371,1
DB00461,DB01255,1
DB00490,DB00818,1
DB11431,DB00502,1
DB01100,DB06587,1
DB00408,DB13875,1
DB00715,DB11898,1
DB01104,DB01247,1
DB00321,DB09271,1
DB13951,DB01151,1
DB00150,DB00313,1
DB01246,DB01623,1
DB00831,DB01409,1
DB01037,DB13317,1
DB06216,DB09254,1
DB00604,DB00363,1
DB00176,DB09480,1
DB13657,DB00555,1
DB00215,DB14072,1
DB00555,DB13443,1
DB12332,DB00215,1
DB06684,DB00350,1
DB00321,DB00888,1
DB01247,DB13929,1
DB00181,DB01149,1
DB00681,DB01068,1
DB00344,DB00875,1
DB12649,DB00715,1
DB06077,DB09330,1
DB00458,DB00969,1
DB00408,DB13787,1
DB00176,DB00597,1
DB01076,DB01175,1
DB01037,DB00390,1
DB00234,DB01068,1
DB00960,DB01149,1
DB00334,DB00568,1
DB08918,DB00585,1
DB00420,DB00475,1
DB06335,DB01224,1
DB00941,DB01618,1
DB00246,DB01192,1
DB00500,DB00477,1
DB01151,DB08901,1
DB00475,DB01621,1
DB06684,DB00977,1
DB00182,DB00247,1
DB00543,DB12100,1
DB00726,DB00571,1
DB00831,DB12163,1
DB09167,DB00502,1
DB01049,DB00502,1
DB00502,DB09241,1
DB04884,DB00363,1
DB00344,DB11871,1
DB00563,DB00704,1
DB00829,DB01281,1
DB00252,DB14509,1
DB00876,DB00476,1
DB01100,DB13633,1
DB06700,DB00310,1
DB13679,DB06684,1
DB04829,DB00458,1
DB00734,DB13295,1
DB00712,DB00934,1
DB00384,DB00334,1
DB00458,DB08985,1
DB01037,DB06711,1
DB01331,DB00829,1
DB01037,DB05488,1
DB01623,DB13457,1
DB00935,DB06216,1
DB00934,DB01567,1
DB00829,DB13357,1
DB00285,DB00743,1
DB04688,DB01247,1
DB05034,DB00502,1
DB00829,DB01213,1
DB01329,DB01068,1
DB14509,DB04884,1
DB01054,DB00679,1
DB14502,DB00934,1
DB06287,DB01104,1
DB09068,DB08912,1
DB00726,DB13481,1
DB00715,DB11376,1
DB09218,DB00555,1
DB00877,DB08918,1
DB01618,DB01556,1
DB00656,DB00247,1
DB12105,DB01149,1
DB00656,DB06762,1
DB00370,DB00678,1
DB00734,DB00603,1
DB04889,DB00176,1
DB00225,DB00422,1
DB08910,DB01175,1
DB09173,DB00623,1
DB00334,DB11428,1
DB00656,DB09167,1
DB00850,DB00564,1
DB00477,DB09016,1
DB13443,DB01576,1
DB01267,DB13577,1
DB00555,DB01289,1
DB00623,DB06527,1
DB01390,DB00477,1
DB00502,DB09249,1
DB00370,DB00936,1
DB00370,DB12645,1
DB00623,DB01624,1
DB00246,DB00476,1
DB00831,DB01041,1
DB01037,DB13371,1
DB01242,DB00909,1
DB01050,DB00831,1
DB01016,DB00472,1
DB00246,DB01352,1
DB11591,DB01100,1
DB00404,DB13770,1
DB05034,DB00477,1
DB00241,DB00422,1
DB12846,DB00831,1
DB06016,DB06512,1
DB00490,DB01365,1
DB13868,DB01156,1
DB09214,DB14509,1
DB06077,DB11779,1
DB01250,DB06016,1
DB13310,DB00829,1
DB01255,DB06370,1
DB00457,DB00176,1
DB00344,DB00753,1
DB00321,DB00221,1
DB00822,DB00404,1
DB00540,DB01246,1
DB14185,DB00588,1
DB00182,DB15203,1
DB00091,DB00502,1
DB00115,DB00422,1
DB01169,DB00321,1
DB03585,DB00404,1
DB00376,DB01224,1
DB00486,DB00543,1
DB00279,DB00850,1
DB00404,DB00314,1
DB00543,DB11755,1
DB09241,DB00363,1
DB00903,DB01149,1
DB05077,DB01100,1
DB09274,DB00477,1
DB00316,DB01018,1
DB13443,DB00850,1
DB08815,DB00312,1
DB13544,DB14185,1
DB00674,DB00829,1
DB01623,DB13014,1
DB00540,DB12610,1
DB00321,DB00810,1
DB08918,DB00054,1
DB00555,DB08799,1
DB00734,DB01192,1
DB15066,DB06700,1
DB04977,DB00313,1
DB00321,DB13125,1
DB00555,DB06782,1
DB00497,DB01156,1
DB05246,DB01224,1
DB00189,DB00734,1
DB00540,DB13775,1
DB00937,DB08918,1
DB00408,DB13253,1
DB00715,DB09330,1
DB11189,DB00540,1
DB04348,DB00215,1
DB00382,DB00752,1
DB01424,DB00679,1
DB13951,DB00543,1
DB01037,DB01556,1
DB01212,DB01242,1
DB00800,DB00408,1
DB00477,DB14600,1
DB01576,DB08997,1
DB00543,DB13694,1
DB00363,DB13606,1
DB00285,DB01433,1
DB00246,DB09213,1
DB00628,DB08954,1
DB00831,DB12518,1
DB00215,DB00230,1
DB00344,DB13452,1
DB01211,DB00623,1
DB00486,DB00182,1
DB01150,DB00934,1
DB00734,DB04960,1
DB06684,DB08811,1
DB14185,DB00199,1
DB05773,DB01037,1
DB06216,DB04948,1
DB01297,DB00850,1
DB01224,DB12163,1
DB03203,DB00334,1
DB06016,DB04938,1
DB08875,DB01104,1
DB11098,DB01242,1
DB01151,DB06764,1
DB12313,DB00734,1
DB01104,DB09215,1
DB05227,DB06700,1
DB00681,DB00285,1
DB00633,DB00850,1
DB00500,DB01151,1
DB11712,DB00715,1
DB00857,DB00176,1
DB09329,DB14509,1
DB01255,DB13478,1
DB00514,DB00215,1
DB00679,DB04817,1
DB00384,DB00321,1
DB00422,DB13345,1
DB06655,DB00477,1
DB00849,DB00370,1
DB00007,DB14509,1
DB01018,DB01175,1
DB14185,DB00320,1
DB06109,DB14185,1
DB06726,DB00334,1
DB01238,DB01425,1
DB01068,DB03313,1
DB09043,DB00334,1
DB00526,DB00313,1
DB08874,DB01100,1
DB01392,DB00726,1
DB02925,DB01267,1
DB00623,DB00949,1
DB09128,DB12833,1
DB01174,DB12161,1
DB01135,DB00176,1
DB00669,DB01100,1
DB00732,DB00476,1
DB13946,DB00540,1
DB01267,DB14635,1
DB11543,DB01175,1
DB13812,DB01174,1
DB00660,DB14185,1
DB01242,DB01173,1
DB00401,DB00829,1
DB01104,DB12401,1
DB01238,DB01463,1
DB00546,DB14509,1
DB00850,DB13759,1
DB00182,DB00414,1
DB01623,DB11943,1
DB00115,DB00285,1
DB00832,DB00458,1
DB00442,DB00370,1
DB00829,DB14530,1
DB12371,DB00215,1
DB01037,DB09184,1
DB00344,DB00712,1
DB00422,DB09257,1
DB06016,DB00616,1
DB00543,DB00611,1
DB01254,DB00477,1
DB00669,DB06684,1
DB00555,DB06738,1
DB00862,DB06700,1
DB06077,DB08996,1
DB01593,DB00363,1
DB00502,DB13185,1
DB01421,DB08918,1
DB11512,DB01151,1
DB06684,DB08861,1
DB01255,DB00317,1
DB11943,DB00477,1
DB00738,DB00246,1
DB08815,DB11443,1
DB01018,DB00434,1
DB00476,DB00159,1
DB00543,DB13657,1
DB01535,DB01175,1
DB01309,DB00458,1
DB00778,DB01100,1
DB06216,DB13956,1
DB00801,DB09068,1
DB00363,DB01197,1
DB00458,DB00914,1
DB00371,DB00934,1
DB13643,DB00334,1
DB00321,DB00571,1
DB06203,DB00540,1
DB01255,DB04868,1
DB13313,DB00408,1
DB00334,DB00832,1
DB00340,DB01255,1
DB00437,DB14509,1
DB00628,DB13411,1
DB13627,DB01267,1
DB01242,DB13695,1
DB09073,DB00715,1
DB05465,DB00321,1
DB00321,DB12212,1
DB01174,DB12492,1
DB00540,DB11779,1
DB00555,DB12710,1
DB09068,DB13944,1
DB01174,DB00951,1
DB00918,DB14509,1
DB01224,DB08964,1
DB01255,DB00026,1
DB00215,DB00670,1
DB04812,DB09068,1
DB00741,DB00734,1
DB00540,DB01209,1
DB00726,DB13941,1
DB00865,DB00472,1
DB00285,DB00474,1
DB01238,DB09239,1
DB01037,DB00227,1
DB00370,DB01587,1
DB00285,DB00927,1
DB01238,DB01119,1
DB13468,DB00477,1
DB00831,DB09462,1
DB00548,DB01068,1
DB09253,DB00476,1
DB09134,DB01151,1
DB00934,DB11753,1
DB13946,DB00831,1
DB00444,DB00176,1
DB00344,DB08815,1
DB05607,DB00215,1
DB00392,DB00850,1
DB11967,DB00321,1
DB00928,DB00458,1
DB00458,DB14064,1
DB00829,DB00841,1
DB00321,DB06204,1
DB00363,DB08841,1
DB06216,DB00184,1
DB01247,DB11278,1
DB00490,DB04836,1
DB01037,DB08954,1
DB00922,DB01242,1
DB06716,DB08918,1
DB00628,DB13221,1
DB00344,DB06282,1
DB13559,DB00334,1
DB14185,DB13374,1
DB13775,DB01175,1
DB08815,DB09078,1
DB01156,DB01489,1
DB01156,DB04856,1
DB00235,DB14509,1
DB00344,DB01608,1
DB00363,DB09134,1
DB00477,DB00975,1
DB00215,DB00365,1
DB01224,DB01030,1
DB00490,DB11609,1
DB00502,DB12399,1
DB00849,DB00422,1
DB01224,DB01565,1
DB01624,DB00752,1
DB00543,DB09217,1
DB00261,DB01255,1
DB11113,DB00555,1
DB00726,DB00544,1
DB00656,DB01197,1
DB00520,DB01149,1
DB01115,DB06216,1
DB01489,DB01104,1
DB14185,DB01229,1
DB00698,DB00321,1
DB00313,DB11751,1
DB00950,DB00490,1
DB01168,DB00934,1
DB06800,DB00458,1
DB06700,DB14025,1
DB06554,DB00476,1
DB00476,DB01365,1
DB00502,DB14633,1
DB01037,DB00673,1
DB00416,DB00370,1
DB09299,DB00477,1
DB00540,DB00245,1
DB11094,DB01149,1
DB00726,DB01306,1
DB00490,DB04894,1
DB00934,DB11672,1
DB00445,DB00502,1
DB02703,DB00623,1
DB00628,DB00698,1
DB00182,DB01060,1
DB01626,DB00543,1
DB00934,DB01021,1
DB00321,DB14724,1
DB01325,DB09068,1
DB00191,DB00704,1
DB00502,DB09122,1
DB01018,DB00314,1
DB01174,DB12184,1
DB00726,DB00572,1
DB00850,DB01489,1
DB00346,DB00831,1
DB00409,DB06700,1
DB00915,DB01255,1
DB00502,DB12958,1
DB00829,DB12923,1
DB00641,DB00850,1
DB09000,DB01576,1
DB01068,DB12338,1
DB00334,DB14651,1
DB12364,DB01037,1
DB01104,DB13783,1
DB01593,DB01151,1
DB00489,DB00285,1
DB00822,DB01015,1
DB00408,DB00370,1
DB06697,DB00176,1
DB13791,DB00246,1
DB04570,DB00934,1
DB00476,DB02709,1
DB09068,DB09210,1
DB09219,DB00321,1
DB02638,DB00246,1
DB01238,DB14575,1
DB01255,DB00657,1
DB00679,DB13860,1
DB00285,DB12935,1
DB08918,DB00402,1
DB00715,DB06731,1
DB00679,DB01598,1
DB01242,DB06458,1
DB01037,DB12427,1
DB06201,DB00715,1
DB01277,DB01224,1
DB00363,DB01612,1
DB04817,DB00458,1
DB09128,DB00857,1
DB01238,DB13400,1
DB00321,DB00627,1
DB01050,DB01255,1
DB00344,DB00463,1
DB13872,DB08918,1
DB00404,DB01048,1
DB09206,DB01242,1
DB09125,DB01156,1
DB11552,DB01149,1
DB08815,DB01556,1
DB09137,DB01242,1
DB01068,DB00209,1
DB12649,DB14509,1
DB01174,DB13784,1
DB00313,DB01255,1
DB09097,DB08815,1
DB05541,DB00370,1
DB00246,DB04917,1
DB01165,DB01224,1
DB01234,DB01104,1
DB01149,DB12399,1
DB01577,DB11642,1
DB09167,DB00370,1
DB00306,DB08815,1
DB06237,DB09128,1
DB00934,DB06196,1
DB00476,DB01587,1
DB00540,DB08901,1
DB01174,DB00195,1
DB01022,DB01068,1
DB00458,DB00763,1
DB11586,DB00502,1
DB01623,DB13025,1
DB00433,DB13420,1
DB00726,DB13099,1
DB01142,DB06701,1
DB00775,DB01242,1
DB00224,DB00472,1
DB01140,DB00363,1
DB00472,DB00794,1
DB01037,DB00712,1
DB00344,DB00866,1
DB00186,DB00726,1
DB00831,DB13382,1
DB01151,DB12361,1
DB01278,DB06216,1
DB00555,DB01618,1
DB06527,DB01104,1
DB00623,DB13507,1
DB00313,DB06739,1
DB01005,DB01104,1
DB08960,DB06700,1
DB00373,DB01623,1
DB08934,DB14509,1
DB00490,DB09174,1
DB00656,DB13014,1
DB00657,DB01224,1
DB00377,DB01174,1
DB00388,DB01267,1
DB00334,DB01236,1
DB06684,DB13234,1
DB00726,DB00505,1
DB00863,DB06700,1
DB06706,DB01238,1
DB12941,DB00313,1
DB01324,DB14509,1
DB01238,DB09242,1
DB00932,DB00477,1
DB09061,DB00313,1
DB06700,DB09418,1
DB04630,DB00715,1
DB08815,DB08904,1
DB00472,DB00768,1
DB01174,DB12273,1
DB01156,DB00765,1
DB00760,DB01156,1
DB06283,DB00472,1
DB00521,DB01018,1
DB01100,DB11921,1
DB01252,DB01174,1
DB00715,DB01288,1
DB01215,DB00363,1
DB01068,DB00082,1
DB01149,DB00921,1
DB01531,DB06684,1
DB13538,DB14185,1
DB01100,DB00060,1
DB00673,DB01174,1
DB00968,DB06216,1
DB01151,DB00485,1
DB01100,DB00969,1
DB01174,DB00413,1
DB01018,DB01026,1
DB00450,DB01247,1
DB00285,DB06543,1
DB01238,DB06262,1
DB00285,DB12267,1
DB01111,DB01018,1
DB00953,DB01224,1
DB00715,DB00392,1
DB09128,DB09249,1
DB00540,DB08986,1
DB00502,DB09194,1
DB00540,DB01406,1
DB01151,DB14207,1
DB13572,DB06700,1
DB00185,DB00715,1
DB00555,DB09279,1
DB00829,DB09290,1
DB00427,DB00176,1
DB00831,DB09036,1
DB05246,DB00679,1
DB00477,DB00323,1
DB01224,DB11738,1
DB01151,DB06218,1
DB01198,DB00476,1
DB01242,DB11664,1
DB01202,DB06684,1
DB00215,DB00450,1
DB14126,DB00321,1
DB00422,DB13952,1
DB01224,DB00483,1
DB09242,DB00726,1
DB00334,DB09227,1
DB00458,DB03410,1
DB08976,DB09128,1
DB00641,DB00321,1
DB01255,DB13160,1
DB06708,DB00285,1
DB00458,DB00685,1
DB09022,DB01224,1
DB00007,DB00476,1
DB00734,DB13407,1
DB00656,DB05246,1
DB00313,DB09298,1
DB00370,DB00997,1
DB13534,DB00543,1
DB06684,DB13402,1
DB01104,DB00549,1
DB00418,DB09128,1
DB01156,DB13233,1
DB01149,DB13604,1
DB00363,DB00678,1
DB00404,DB04070,1
DB00502,DB04325,1
DB00490,DB00499,1
DB01104,DB14009,1
DB00408,DB00617,1
DB01104,DB12781,1
DB08991,DB09128,1
DB00679,DB01628,1
DB00422,DB01028,1
DB00477,DB00685,1
DB11817,DB00285,1
DB14060,DB06700,1
DB13354,DB00540,1
DB01151,DB06445,1
DB13504,DB00822,1
DB01576,DB00295,1
DB00656,DB00270,1
DB00740,DB14185,1
DB00543,DB00573,1
DB01418,DB00715,1
DB01068,DB00675,1
DB01267,DB03410,1
DB00285,DB00599,1
DB00376,DB00408,1
DB01009,DB00176,1
DB00540,DB00946,1
DB08167,DB08918,1
DB00215,DB00986,1
DB01247,DB00966,1
DB00273,DB00831,1
DB00543,DB11963,1
DB01289,DB00176,1
DB06684,DB08873,1
DB04812,DB00458,1
DB00555,DB00312,1
DB00433,DB00778,1
DB00741,DB00363,1
DB12752,DB14185,1
DB00829,DB01244,1
DB13413,DB01267,1
DB00477,DB06729,1
DB00191,DB00934,1
DB01224,DB06334,1
DB01156,DB06729,1
DB00215,DB13167,1
DB00628,DB11090,1
DB04889,DB01247,1
DB08918,DB08820,1
DB09252,DB14185,1
DB00475,DB01069,1
DB06216,DB13606,1
DB00433,DB06595,1
DB08846,DB00313,1
DB00424,DB01224,1
DB00404,DB12111,1
DB00176,DB11315,1
DB00347,DB01238,1
DB00934,DB01075,1
DB09213,DB00182,1
DB13956,DB01149,1
DB01018,DB13612,1
DB00540,DB01685,1
DB00321,DB00785,1
DB00238,DB06684,1
DB00656,DB00683,1
DB00321,DB11723,1
DB00568,DB00472,1
DB04871,DB01618,1
DB13295,DB00472,1
DB00182,DB13352,1
DB00726,DB00576,1
DB08918,DB00169,1
DB01247,DB14600,1
DB11577,DB01151,1
DB00842,DB00934,1
DB00656,DB13784,1
DB01151,DB04840,1
DB13256,DB06701,1
DB00822,DB05294,1
DB08918,DB12141,1
DB00176,DB00552,1
DB09244,DB01018,1
DB00344,DB06218,1
DB00331,DB00477,1
DB01156,DB00940,1
DB00246,DB06458,1
DB01175,DB14185,1
DB00726,DB05676,1
DB13369,DB00477,1
DB00704,DB01075,1
DB00715,DB08899,1
DB06016,DB14068,1
DB00662,DB08918,1
DB00458,DB00636,1
DB00543,DB14094,1
DB00829,DB01442,1
DB06016,DB09184,1
DB06700,DB09038,1
DB01307,DB01267,1
DB04953,DB01100,1
DB00448,DB00752,1
DB00588,DB01175,1
DB01483,DB01623,1
DB06737,DB00476,1
DB00405,DB00715,1
DB01126,DB09128,1
DB00334,DB00985,1
DB00747,DB08815,1
DB00422,DB01166,1
DB00285,DB06711,1
DB00182,DB00569,1
DB01068,DB12161,1
DB01151,DB00482,1
DB00555,DB11371,1
DB09414,DB00704,1
DB12604,DB00404,1
DB00046,DB01238,1
DB01247,DB09154,1
DB00490,DB01154,1
DB01563,DB01623,1
DB14194,DB01174,1
DB01623,DB00382,1
DB13876,DB00363,1
DB01238,DB01601,1
DB00726,DB08912,1
DB00215,DB00831,1
DB00829,DB13679,1
DB05039,DB06684,1
DB00370,DB00238,1
DB01018,DB00268,1
DB13722,DB00458,1
DB13234,DB01175,1
DB11097,DB00934,1
DB14752,DB08815,1
DB01195,DB00370,1
DB00726,DB08897,1
DB00477,DB14070,1
DB01149,DB01463,1
DB09068,DB09123,1
DB00246,DB13879,1
DB08918,DB08985,1
DB00889,DB01576,1
DB01255,DB11919,1
DB00543,DB09199,1
DB00861,DB01255,1
DB00458,DB09195,1
DB00555,DB08896,1
DB00734,DB12163,1
DB14513,DB00363,1
DB06774,DB01623,1
DB01151,DB12945,1
DB11609,DB00404,1
DB00217,DB09128,1
DB00457,DB01224,1
DB00722,DB01151,1
DB00409,DB01174,1
DB00334,DB00780,1
DB01472,DB09068,1
DB06535,DB08815,1
DB01623,DB01566,1
DB11466,DB00829,1
DB00199,DB01267,1
DB01151,DB00537,1
DB00433,DB12883,1
DB00854,DB00472,1
DB01224,DB01437,1
DB00476,DB06731,1
DB06512,DB09128,1
DB00628,DB01320,1
DB00726,DB00234,1
DB09167,DB00476,1
DB06608,DB00285,1
DB00828,DB01156,1
DB00215,DB11723,1
DB08815,DB00932,1
DB00433,DB12867,1
DB00235,DB01242,1
DB00370,DB00207,1
DB01429,DB00476,1
DB12867,DB01576,1
DB01563,DB14509,1
DB00977,DB00628,1
DB01224,DB01400,1
DB13213,DB00176,1
DB00631,DB00934,1
DB09080,DB01037,1
DB00491,DB00502,1
DB00182,DB00402,1
DB06590,DB01068,1
DB12100,DB01238,1
DB14018,DB00490,1
DB00363,DB00005,1
DB11986,DB00490,1
DB09237,DB00752,1
DB00757,DB00246,1
DB13217,DB00182,1
DB01104,DB03410,1
DB00633,DB00829,1
DB01119,DB00285,1
DB00555,DB13185,1
DB09212,DB01149,1
DB08808,DB00831,1
DB00363,DB01096,1
DB00422,DB00387,1
DB09128,DB13598,1
DB00540,DB00379,1
DB01394,DB00433,1
DB00344,DB01295,1
DB00734,DB13377,1
DB01238,DB01565,1
DB01068,DB13573,1
DB01467,DB01100,1
DB01156,DB13874,1
DB01576,DB00691,1
DB06077,DB08912,1
DB06684,DB00820,1
DB00319,DB01267,1
DB13351,DB00704,1
DB01576,DB13657,1
DB00215,DB01281,1
DB00637,DB00540,1
DB08815,DB01018,1
DB00555,DB09021,1
DB00829,DB00921,1
DB06264,DB00934,1
DB00567,DB01149,1
DB06216,DB15119,1
DB01149,DB09264,1
DB01497,DB00176,1
DB00427,DB14509,1
DB00679,DB13524,1
DB00490,DB13595,1
DB00831,DB11686,1
DB00555,DB11400,1
DB01224,DB06148,1
DB01072,DB00934,1
DB00321,DB00035,1
DB00313,DB11901,1
DB06282,DB00934,1
DB00344,DB06753,1
DB01224,DB11363,1
DB00344,DB00568,1
DB01242,DB00041,1
DB01174,DB01381,1
DB00475,DB08922,1
DB01623,DB01137,1
DB00476,DB00704,1
DB00490,DB12278,1
DB00344,DB00539,1
DB00715,DB06725,1
DB01405,DB00476,1
DB00182,DB09198,1
DB11556,DB00176,1
DB01412,DB00704,1
DB01104,DB13317,1
DB00543,DB01173,1
DB06694,DB00679,1
DB00285,DB00690,1
DB00555,DB09320,1
DB01175,DB12710,1
DB00752,DB12445,1
DB01174,DB00922,1
DB13673,DB01224,1
DB08964,DB01242,1
DB01531,DB06216,1
DB00554,DB08815,1
DB00484,DB01018,1
DB00347,DB00477,1
DB00623,DB01558,1
DB01159,DB14185,1
DB00404,DB11459,1
DB00934,DB02546,1
DB00726,DB11664,1
DB04325,DB06216,1
DB01037,DB13554,1
DB06154,DB00458,1
DB00647,DB01267,1
DB00486,DB01018,1
DB00934,DB00042,1
DB00543,DB13552,1
DB00321,DB00178,1
DB12661,DB00370,1
DB00628,DB09106,1
DB00370,DB00457,1
DB00182,DB09121,1
DB00320,DB00679,1
DB02032,DB01018,1
DB06603,DB00715,1
DB04165,DB00472,1
DB01151,DB13695,1
DB00698,DB01267,1
DB01238,DB11582,1
DB00370,DB09363,1
DB00608,DB06216,1
DB00476,DB01252,1
DB00672,DB09128,1
DB08918,DB06207,1
DB00502,DB00614,1
DB01618,DB11537,1
DB00827,DB00246,1
DB14185,DB00207,1
DB00285,DB13720,1
DB09371,DB00477,1
DB00321,DB11921,1
DB01238,DB09215,1
DB01623,DB08872,1
DB01247,DB01364,1
DB01242,DB01200,1
DB01107,DB14185,1
DB00502,DB00390,1
DB00628,DB13500,1
DB01104,DB00328,1
DB06684,DB14724,1
DB00555,DB06815,1
DB00477,DB06767,1
DB00752,DB03322,1
DB00260,DB00344,1
DB01331,DB00422,1
DB01276,DB01267,1
DB13598,DB01104,1
DB01242,DB12833,1
DB01064,DB01224,1
DB01018,DB13331,1
DB00934,DB01226,1
DB01193,DB06684,1
DB01242,DB00342,1
DB12406,DB00934,1
DB00837,DB01224,1
DB00968,DB00656,1
DB00246,DB00317,1
DB00370,DB01324,1
DB00491,DB01175,1
DB00321,DB00163,1
DB00285,DB00071,1
DB00321,DB09241,1
DB00474,DB00752,1
DB00698,DB00934,1
DB01247,DB01062,1
DB00831,DB08861,1
DB00540,DB01288,1
DB00321,DB00273,1
DB00182,DB08864,1
DB00285,DB06268,1
DB01149,DB00318,1
DB04829,DB01018,1
DB00543,DB11898,1
DB09068,DB14568,1
DB00831,DB15203,1
DB01622,DB06077,1
DB00405,DB00215,1
DB00656,DB00727,1
DB13225,DB01576,1
DB09080,DB00502,1
DB08882,DB00477,1
DB12713,DB08815,1
DB04836,DB01255,1
DB00159,DB01037,1
DB09068,DB06077,1
DB00854,DB06216,1
DB00356,DB00822,1
DB00850,DB00285,1
DB00215,DB13252,1
DB00370,DB11587,1
DB01151,DB13953,1
DB00235,DB09128,1
DB00915,DB00433,1
DB08918,DB01591,1
DB00349,DB01618,1
DB13203,DB00334,1
DB01233,DB01151,1
DB09097,DB01224,1
DB01429,DB00433,1
DB13284,DB00502,1
DB00246,DB00308,1
DB00422,DB01467,1
DB12836,DB00363,1
DB01242,DB09001,1
DB01354,DB00704,1
DB09195,DB00628,1
DB00191,DB01255,1
DB00369,DB08918,1
DB01037,DB00814,1
DB09287,DB00934,1
DB01247,DB04834,1
DB00734,DB12174,1
DB00555,DB12097,1
DB00934,DB00428,1
DB08918,DB01268,1
DB09078,DB00472,1
DB01104,DB01611,1
DB00628,DB01124,1
DB00715,DB01009,1
DB00458,DB11664,1
DB00726,DB08864,1
DB00408,DB00680,1
DB00285,DB00548,1
DB01067,DB06700,1
DB00540,DB11889,1
DB00313,DB05316,1
DB00422,DB00542,1
DB00623,DB01209,1
DB06216,DB00379,1
DB01363,DB01576,1
DB08918,DB11555,1
DB01623,DB01424,1
DB00541,DB00408,1
DB00555,DB06825,1
DB01151,DB11554,1
DB00246,DB00647,1
DB00555,DB00852,1
DB09173,DB00182,1
DB13643,DB00363,1
DB00285,DB01306,1
DB00502,DB00748,1
DB01242,DB11574,1
DB00502,DB08904,1
DB00623,DB00327,1
DB00490,DB06203,1
DB00458,DB00853,1
DB00182,DB00228,1
DB00628,DB13557,1
DB00273,DB00623,1
DB00747,DB01149,1
DB01482,DB00176,1
DB00476,DB06791,1
DB00901,DB00656,1
DB12474,DB01174,1
DB06216,DB00730,1
DB00816,DB01267,1
DB08815,DB14659,1
DB00540,DB12177,1
DB00665,DB06700,1
DB01267,DB00213,1
DB01226,DB00472,1
DB00734,DB08971,1
DB05034,DB00490,1
DB00696,DB01255,1
DB01174,DB11859,1
DB06216,DB14010,1
DB01068,DB09091,1
DB00313,DB06109,1
DB08909,DB00313,1
DB00734,DB00383,1
DB01174,DB14063,1
DB08981,DB01156,1
DB00215,DB08167,1
DB00894,DB01068,1
DB00726,DB13174,1
DB11903,DB00475,1
DB02959,DB09128,1
DB12531,DB00477,1
DB01104,DB11984,1
DB00732,DB09068,1
DB04903,DB06700,1
DB00433,DB00934,1
DB09013,DB00285,1
DB08992,DB09128,1
DB00652,DB06216,1
DB00423,DB01267,1
DB06216,DB12278,1
DB00408,DB11755,1
DB00334,DB06077,1
DB13989,DB00334,1
DB00726,DB01080,1
DB06211,DB08918,1
DB06735,DB00850,1
DB01100,DB13522,1
